section_code,section_title,subsection_title,clause_ref,subclause_ref,clause_text,clause_type
A,General Rules,,,,General Rules,section_header
A,General Rules,,,,B PRELIMINARIES,note
A,General Rules,,,,Preliminary particulars,note
A,General Rules,,,,Contracts particulars,note
A,General Rules,,,,General matters,note
A,General Rules,,,,Temporary works,note
A,General Rules,,,,Works by public bodies,note
A,General Rules,,,,Works by nominated sub-contractors,note
A,General Rules,,,,Goods and materials from nominated suppliers,note
A,General Rules,,,,Protecting and cleaning the works,note
A,General Rules,,,,Contingencies,note
A,General Rules,,,,C DEMOLITIONS AND ALTERATIONS,note
A,General Rules,,,,General to Section C,note
A,General Rules,,,,Demolitions,note
A,General Rules,,,,Alterations,note
A,General Rules,,,,Sundries,note
A,General Rules,,,,D. EXCAVATIONS AND EARTHWORK,note
A,General Rules,,,,Generally to Section D,note
A,General Rules,,,,Site preparation,note
A,General Rules,,,,Excavation,note
A,General Rules,,,,Disposal of water,note
A,General Rules,,,,Planking and strutting,note
A,General Rules,,,,Hardcore filling,note
A,General Rules,,,,E. PILING,note
A,General Rules,,,,Generally to Section E,note
A,General Rules,,,,Wood or concrete piles,note
A,General Rules,,,,Contractor-designed concrete piles,note
A,General Rules,,,,Steel sheet piling,note
A,General Rules,,,,F. CONCRETE WORK,note
A,General Rules,,,,Generally to Section F,note
A,General Rules,,,,Plain concrete and reinforced concrete,note
A,General Rules,,,,Reinforcement,note
A,General Rules,,,,Formwork,note
A,General Rules,,,,Precast concrete units,note
A,General Rules,,,,Hollow block suspended Construction,note
A,General Rules,,,,Prestressed concrete,note
A,General Rules,,,,Precast prestressed units,note
A,General Rules,,,,Sundries,note
A,General Rules,,,,G. WALLING,note
A,General Rules,,,,Generally to Section G,note
A,General Rules,,,,Walling in connection with boilers,note
A,General Rules,,,,Facework,note
A,General Rules,,,,Brick facework,note
A,General Rules,,,,Rubble walling,note
A,General Rules,,,,Masonry,note
A,General Rules,,,,Cast stonework,note
A,General Rules,,,,Clayware work,note
A,General Rules,,,,Sundries,note
A,General Rules,,,,Centering,note
A,General Rules,,,,Damp-proof courses,note
A,General Rules,,,,H. UNDERPINNING,note
A,General Rules,,,,Generally to Section H,note
A,General Rules,,,,Work in all trades,note
A,General Rules,,,,J. ASPHALT WORK,note
A,General Rules,,,,Generally to Section J,note
A,General Rules,,,,Mastic asphalt,note
A,General Rules,,,,K. ROOFING,note
A,General Rules,,,,Generally to Section K,note
A,General Rules,,,,Slate of tile roofing,note
A,General Rules,,,,Corrugated or troughed sheet roofing,note
A,General Rules,,,,1,note
A,General Rules,,,,Thatch roofing,note
A,General Rules,,,,Roof decking,note
A,General Rules,,,,Bitumen-felt roofing,note
A,General Rules,,,,Sheet metal roofing,note
A,General Rules,,,,Sheet metal flashings and gutter linings and metal trims,note
A,General Rules,,,,L. CARPENTRY,note
A,General Rules,,,,Generally to Section L,note
A,General Rules,,,,Structural timbers,note
A,General Rules,,,,Boarding,note
A,General Rules,,,,Fillets grounds batterns and bracketing,note
A,General Rules,,,,Sundries,note
A,General Rules,,,,M. JOINERY,note
A,General Rules,,,,Generally to Section M,note
A,General Rules,,,,Flooring,note
A,General Rules,,,,"Boarded or panelled linings, casing and partitions",note
A,General Rules,,,,"Doors, windows, skylights and lanterns",note
A,General Rules,,,,"Frames, sills and kerbs",note
A,General Rules,,,,"Fillets, glazing and beads and grounds",note
A,General Rules,,,,"Shelves, table-tops and seats",note
A,General Rules,,,,Draining-boards and backboards,note
A,General Rules,,,,Fittings and fixtures,note
A,General Rules,,,,Staircases,note
A,General Rules,,,,Standard units,note
A,General Rules,,,,Sundries,note
A,General Rules,,,,Ironmongery,note
A,General Rules,,,,N. STRUCTURAL STEELWORK,note
A,General Rules,,,,Generally to Section N,note
A,General Rules,,,,Grillages and girders,note
A,General Rules,,,,"Stanchions, columns and portal frames",note
A,General Rules,,,,"Roof members, braces, struts and rails",note
A,General Rules,,,,Sundries,note
A,General Rules,,,,P. METAL WORK,note
A,General Rules,,,,Generally to Section P,note
A,General Rules,,,,"Work in plates, bars, section and tubes",note
A,General Rules,,,,Work in sheet metal,note
A,General Rules,,,,Work in wire mesh or expanded metal,note
A,General Rules,,,,Compose units,note
A,General Rules,,,,Standard units,note
A,General Rules,,,,Sundries,note
A,General Rules,,,,Q PLUMBING AND ENGINEERING INSTALLATIONS,note
A,General Rules,,,,Generally to Section Q,note
A,General Rules,,,,Gutterwork,note
A,General Rules,,,,Pipework,note
A,General Rules,,,,Ductwork,note
A,General Rules,,,,Equipment,note
A,General Rules,,,,Thermal insulation,note
A,General Rules,,,,Builders work,note
A,General Rules,,,,R. MECHANICAL ENGINERING INSTALLATION,note
A,General Rules,,,,Generally to Section R,note
A,General Rules,,,,Piped Systems,note
A,General Rules,,,,Conveying installations,note
A,General Rules,,,,Ductwork,note
A,General Rules,,,,S. ELECTRICAL INSTALLATION,note
A,General Rules,,,,Generally to Section S,note
A,General Rules,,,,Equipment and control gear,note
A,General Rules,,,,"Conduits, trunking and tray",note
A,General Rules,,,,Cables and conductors,note
A,General Rules,,,,Fittings and accessories,note
A,General Rules,,,,Sundries,note
A,General Rules,,,,Builder’s work,note
A,General Rules,,,,protection,note
A,General Rules,,,,2,note
A,General Rules,,,,"T FLOOR, WALL AND CEILING FINISHES",note
A,General Rules,,,,Generally to Section S,note
A,General Rules,,,,In-situ finishing’s,note
A,General Rules,,,,"Tile, slab or block finishing’s",note
A,General Rules,,,,Plain sheet finishings,note
A,General Rules,,,,Beds and backings,note
A,General Rules,,,,Lathing and baseboarding,note
A,General Rules,,,,Suspended plain sheet linings with supporting metal work,note
A,General Rules,,,,Self-finished partitions,note
A,General Rules,,,,U. GLAZING,note
A,General Rules,,,,Generally Section U,note
A,General Rules,,,,Glass in openings,note
A,General Rules,,,,Leaded lights and copper lights in openings,note
A,General Rules,,,,Patent glazing,note
A,General Rules,,,,Dome-lights,note
A,General Rules,,,,V. PAINTING AND DECORATING,note
A,General Rules,,,,Generally to Section U,note
A,General Rules,,,,Painting and similar work,note
A,General Rules,,,,Polishing,note
A,General Rules,,,,Sign writing,note
A,General Rules,,,,W. DRAINAGE,note
A,General Rules,,,,Generally to Section V,note
A,General Rules,,,,Work in all trades,note
A,General Rules,,,,X. LANDSCAPING,note
A,General Rules,,,,Generally to Section X,note
A,General Rules,,,,Y. ROADWORKS,note
A,General Rules,,,,Generally to Section Y,note
A,General Rules,,,,Z. FENCING,note
A,General Rules,,,,Generally to Section Z,note
A,General Rules,,,,Opening-type fencing,note
A,General Rules,,,,Close-type fencing,note
A,General Rules,,,,Gates,note
A,General Rules,,,,3,note
A,General Rules,,,,General Rules,section_header
A,General Rules,,A1,,Bills of Quantities  Bills of Quantities shall fully describe and accurately represent the works to be executed. Work which cannot be measured accurately shall be described as provision or given in a bill of approximate quantities.,clause
A,General Rules,,A2,,Measurements,clause
A,General Rules,,A2,A2(a),Work shall be measured net as fixed in position and each measurement shall be taken to,subclause
A,General Rules,,A2,,the nearest 10 mm (i.e. 5 millimeters and over shall be regarded as 10 millimeters less than 5 millimeters shall be disregarded). This rule shall not apply to any dimensions stated in descriptions (b) Where minimum deductions of voids are dealt with in this document they shall refer only to openings or wants which are wholly within the boundaries of measured areas. Openings or voids/holes which are at the boundaries of measured areas shall always be the subject of deduction irrespective of size.,clause
A,General Rules,,A3,,Description,clause
A,General Rules,,A3,A3(a),The order of stating dimensions in descriptions shall be consistent and generally in the,subclause
A,General Rules,,A3,,"sequence of length, width and height. Where that sequence is not appropriate or where ambiguity could arise, the dimensions shall be specifically identified. (b) Unless otherwise specifically stated in the bill, or herein, the following shall be deemed to be included with all items:i. Labour and call costs in connection therewith ii. Materials, goods and all costs in connection therewith (e.g. conveyance, delivery; unloading; storing; returning packings; handling; hoisting; lowering). iii. Fitting and fixing materials and goods in position iv. Use of plants and machinery v. Waste of materials. vi. Square cutting. vii. Establishment charges, overhead charges and profit viii. All taxes and duties (c) Junctions between straight and curved work shall in all cases be deemed to be included with the work in which they occur. (d) Notwithstanding the provisions in this document for labours to be given as linear items such labours may be given in the descriptions of any linear items of work in which they occur. (e) Notwithstanding the provisions in this document for labours to be enumerated, such labour may be given in the description of any enumerated item of work on which they occur. (d) Labours on existing work shall be so described",clause
A,General Rules,,A4,,"Sizes of pipes or the  Where this document requires the sizes of pipes and tubes (measured internally) and bars, cables, like conduits, standards and the like (measured externally) to be stated, the actual size of the pipe, tube, bar or the like shall be stated.",clause
A,General Rules,,A5,,Quantities,clause
A,General Rules,,A5,A5(a),"Where the unit of billing is the metre, kilogram or litre quantities shall be billed to the",subclause
A,General Rules,,A5,,"nearest whole unit. Fractions of a unit less than half shall be disregarded and all other fractions shall be regarded as whole units. (b) Where the Bills of Quantities is subject to use of more than two identical units repeated, then the unit of billing shall be to the nearest two decimal places. (c) Where application of this Clause would cause an entire item to be eliminated such item shall be enumerated stating the size or weight as appropriate",clause
A,General Rules,,A6,,"Provisional or prime  Where this document requires provisional or prime cost sums to be given in accordance with this 4 cost sums Clause, the choice of term shall be made in conformity with the following definitions unless otherwise provided in the conditions of contract:i. The term ""provisional sum"" shall mean a sum provided for work or for costs which cannot be entirely foreseen, defined or detailed at the time the tendering documents are issued. ii. The term ""prime cost sum"" shall mean a sum provided for work or services to be executed by a nominated sub-contractor, a statutory authority or a public undertaking or for materials or goods to be obtained from a nominated supplier. Such sum shall be deemed to be exclusive of any profit and any attendance required by the general contractor and provision shall be made for the addition thereof",clause
A,General Rules,,A7,,"Work under water  Work executed in or under water shall be so described stating whether canal, river or sea water and (where applicable) the levels of high and low water.",clause
A,General Rules,,A8,,Work in compressed  Work executed in compressed air shall be so described stating the pressure and the methods air of entry and exit.,clause
A,General Rules,,A9,,Dayworks,clause
A,General Rules,,A9,A9(a),The term ’day work’ shall mean work for which the contractor is to be paid on the basis of,subclause
A,General Rules,,A9,,"the cost of materials, labour and plant plus an agreed percentage for overheads and profit. (b) Works shall be quantified as ’dayworks’ where the works be measured in the normal way stipulated in this document. Such works shall be quantified as provided in clause 818 hereof.",clause
A,General Rules,,A10,,"Departures from the  No departure shall be made from this Standard Method of Measurement except to meet the Standard Method of requirements of exceptional circumstances. In such cases, special methods may be adopted provided Measurement the principles laid down herein are observed. The rules of measurement adopted in these circumstances shall be clearly stated in the bills of quantities. 5",clause
B,Preliminaries,,,,Preliminaries,section_header
B,Preliminaries,Preliminary particulars,,,Preliminary particulars,subsection
B,Preliminaries,Preliminary particulars,B1,,"Name of Parties  The names and addresses of the employer, the Architect, the Engineers, and the Quantity Surveyors shall be stated.",clause
B,Preliminaries,Preliminary particulars,B2,,Description of site,clause
B,Preliminaries,Preliminary particulars,B2,B2(a),The location of the site shall be described stating the mode of access. Attention shall be,subclause
B,Preliminaries,Preliminary particulars,B2,,"drawn to any limitations of working space and to any adjacent or abutting buildings. (b) Recommendations as to visiting the site and inspection of any trial holes shall be made stating where the keys may be obtained (if any required) and where the drawings and other documents may be inspected. (c) Where any restrictions are imposed on the use or disposal of any sand or gravel found on the site, particulars of the restrictions shall be given. (d) Where possession of the site will be given in sections, particulars shall be given.",clause
B,Preliminaries,Preliminary particulars,B3,,Description of the,clause
B,Preliminaries,Preliminary particulars,B3,B3(a),A general description of the works shall be given,subclause
B,Preliminaries,Works by public bodies,,,Works by public bodies,subsection
B,Preliminaries,Works by public bodies,B3,,"(b) Where drawings are not supplied with the Bills the size of the building, the height above and below ground level and the number of storeys shall be given. (c) Where the works are required to be executed or completed in any specific order or in sections or phases particulars shall be given.",clause
B,Preliminaries,Contracts particulars,,,Contracts particulars,subsection
B,Preliminaries,Contracts particulars,B4,,Contract particulars,clause
B,Preliminaries,Contracts particulars,B4,B4(a),Particulars of the form and type of contract shall be given,subclause
B,Preliminaries,Contracts particulars,B4,,"(b) Where the conditions of contract are standard (i.e. printed and published for general use), particulars of the edition to be used shall be given and a schedule of the clause headings shall be set out in the bill. (c) Where any other conditions of contract are used, a copy of the full conditions shall be supplied with the bill and a schedule of the clause headings shall be set out in the bill. (d) Where there is an appendix to the condition of contract requiring insertions to be made, a schedule of the insertions shall be set out in the bill.",clause
B,Preliminaries,General matters,,,General matters,subsection
B,Preliminaries,General matters,B5,,"Items for convenience  For convenience in pricing, items for the following shall given where applicable unless they are",clause
